,city,country,lat,lon,temp,humidity,cloudiness,windiness
0,Bambous Virieux,MU,-20.3428,57.7575,299.47,83,40,3.09
1,Atuona,PF,-9.8,-139.0333,299.36,62,49,2.1
2,Fairbanks,US,64.8378,-147.7164,255.04,77,1,1.14
3,Broken Hill,AU,-31.95,141.4333,283.15,76,58,7.2
4,Jamestown,US,42.097,-79.2353,275.34,32,1,4.89
5,Port Alfred,ZA,-33.5906,26.891,295.93,84,70,0.45
6,Ushuaia,AR,-54.8,-68.3,281.15,57,75,14.92
7,Usinsk,RU,65.9939,57.5281,261.72,94,100,6.06
8,Punta Arenas,CL,-53.15,-70.9167,283.93,46,20,10.29
9,Flinders,AU,-34.5833,150.8552,291.02,90,100,3.13
10,Otradnoye,RU,59.7775,30.8181,274.44,92,100,3.86
11,Albany,US,42.6001,-73.9662,277.27,27,43,4.18
12,Vardø,NO,70.3705,31.1107,269.61,89,100,3.66
13,Saint George,US,37.1041,-113.5841,281.21,75,40,1.74
14,Khatanga,RU,71.9667,102.5,243.79,94,64,5.87
15,Hobart,AU,-42.8794,147.3294,282.58,62,20,4.12
16,Tiarei,PF,-17.5333,-149.3333,303.93,66,20,3.6
17,Sakakah,SA,29.9697,40.2064,287.15,35,0,3.26
18,Lebu,CL,-37.6167,-73.65,289.54,72,0,4.21
19,Cape Town,ZA,-33.9258,18.4232,292.29,94,90,6.17
20,Yarmouth,US,41.7057,-70.2286,278.68,42,1,7.2
21,Busselton,AU,-33.65,115.3333,281.74,94,0,5.21
22,New Norfolk,AU,-42.7826,147.0587,280.83,68,6,1.96
23,Kahului,US,20.8947,-156.47,294.12,94,90,7.72
24,Montgomery,US,39.1501,-77.1997,286.62,18,1,3.6
25,Arrecife,ES,28.963,-13.5477,291.15,77,40,5.14
26,Xiongzhou,CN,25.1167,114.3,289.39,89,25,1.05
27,Tuktoyaktuk,CA,69.4541,-133.0374,249.15,77,90,1.03
28,Coyhaique,CL,-45.5752,-72.0662,296.15,33,0,2.57
29,Rikitea,PF,-23.1203,-134.9692,300.04,74,39,3.78
30,Puerto Ayora,EC,-0.7393,-90.3518,301.36,74,40,4.12
31,Måløy,NO,61.9353,5.1136,277.71,81,90,7.2
32,Thompson,CA,55.7435,-97.8558,266.15,49,20,5.14
33,Torbay,CA,47.6666,-52.7314,276.9,45,75,3.09
34,Butaritari,KI,3.0707,172.7902,300.13,80,72,5.43
35,Grand-Santi,GF,4.25,-54.3833,298.11,85,10,1.41
36,Touros,BR,-5.1989,-35.4608,300.15,74,40,7.2
37,Bossangoa,CF,6.4926,17.4552,300.78,45,94,1.61
38,Bambanglipuro,ID,-7.95,110.2833,297.76,79,96,1.86
39,Naze,JP,28.3667,129.4833,290.15,72,75,3.09
40,Bethel,US,41.3712,-73.414,279.39,29,1,1.34
41,Bredasdorp,ZA,-34.5322,20.0403,290.15,94,13,1.03
42,Ambon City,ID,-3.6954,128.1814,297.15,94,40,4.12
43,Raja,SS,8.4596,25.678,298.59,33,50,0.39
44,Geraldton,AU,-28.7667,114.6,295.15,37,0,12.35
45,Emerald,AU,-23.5333,148.1667,297.59,83,40,3.09
46,Sātkhira,BD,22.7167,89.1,293.15,94,20,1.88
47,Binzhou,CN,37.3667,118.0167,281.48,76,0,1.27
48,Kapaa,US,22.0752,-159.319,294.1,94,90,11.83
49,Castro,BR,-24.7911,-50.0119,293.6,70,33,0.88
50,Hermanus,ZA,-34.4187,19.2345,293.15,89,9,1.34
51,Taoudenni,ML,22.6783,-3.9836,295.59,39,89,5.06
52,Mercedes,AR,-34.6515,-59.4307,299.08,41,0,0.45
53,Koszalin,PL,54.1944,16.1722,277.59,93,76,7.99
54,Vaini,TO,-21.2,-175.2,298.15,88,40,4.12
55,Kaitangata,NZ,-46.2817,169.8464,290.37,66,1,1.34
56,Hilo,US,19.7297,-155.09,294.53,83,90,4.63
57,Praia da Vitória,PT,38.7333,-27.0667,288.39,94,75,10.48
58,Leningradskiy,RU,69.3833,178.4167,266.44,79,100,2.22
59,Meulaboh,ID,4.1363,96.1285,297.5,83,100,1.49
60,Buala,SB,-8.145,159.5921,301.06,74,96,2.64
61,Constitución,CL,-35.3333,-72.4167,290.0,75,18,1.54
62,Araouane,ML,18.9048,-3.5265,296.3,32,25,4.44
63,São Filipe,CV,14.8961,-24.4956,294.87,75,0,2.17
64,Loma Bonita,PA,8.3833,-80.1667,303.89,48,40,6.69
