,city,country,lat,lon,temp,humidity,cloudiness,windiness,datetime
0,Narsaq,GL,60.9167,-46.05,269.15,58,75,0.51,1615678104
1,Grand Gaube,MU,-20.0064,57.6608,298.15,82,100,1.34,1615678229
2,Yellowknife,CA,62.456,-114.3525,255.3,65,90,2.57,1615678100
3,Rikitea,PF,-23.1203,-134.9692,300.08,73,39,3.73,1615677792
4,Altar,MX,30.7,-111.8167,289.82,35,29,2.24,1615678382
5,Jumla,NP,29.2747,82.1838,276.73,55,0,1.55,1615678383
6,Hobart,AU,-42.8794,147.3294,286.2,41,20,7.72,1615677932
7,Xiongzhou,CN,25.1167,114.3,291.2,81,25,1.19,1615678383
8,Ushuaia,AR,-54.8,-68.3,279.15,65,75,13.38,1615678100
9,Albany,US,42.6001,-73.9662,275.16,29,41,2.73,1615678159
10,Karatau,KZ,43.1667,70.4667,270.39,96,100,1.09,1615678384
11,Horasan,TR,40.0458,42.1728,261.66,75,100,0.29,1615678384
12,Punta Arenas,CL,-53.15,-70.9167,282.09,49,20,7.2,1615678091
13,Codajás,BR,-3.8367,-62.0569,297.74,86,37,1.04,1615678385
14,Pumiao,CN,22.75,108.4833,292.15,94,90,1.0,1615678385
15,Homer,US,59.6425,-151.5483,268.28,36,1,3.6,1615678236
16,Hermanus,ZA,-34.4187,19.2345,292.04,93,23,3.71,1615678172
17,Saint-Philippe,RE,-21.3585,55.7679,296.33,73,0,5.14,1615678196
18,Juneau,US,58.3019,-134.4197,267.44,40,90,4.12,1615678310
19,Ahmadpur East,PK,29.1431,71.2598,291.36,33,0,3.63,1615678386
20,Safranbolu,TR,41.2508,32.6942,276.88,74,54,0.63,1615678386
21,Klaksvík,FO,62.2266,-6.589,278.15,93,75,13.38,1615678175
22,Bredasdorp,ZA,-34.5322,20.0403,292.15,88,11,4.63,1615678169
23,Lyuban',BY,52.7985,28.0048,275.76,92,98,6.56,1615678387
24,Lebu,CL,-37.6167,-73.65,287.99,79,0,3.93,1615678178
25,Dikson,RU,73.5069,80.5464,242.91,97,100,7.12,1615678174
26,Cape Canaveral,US,28.4058,-80.6048,294.66,68,1,1.54,1615678387
